PlantName,PlantKey,Technology,City,State,ZipCode,Capacity_MW,Lat,Long,2023_CO2_Emissions,2023_NOX_Emissions,2023_SO2_Emissions,2023_CO2_Rate,2023_NOX_Rate,2023_SO2_Rate,FuelType,HeatRate_MBTU,2023_Net_Generation_Mwh
Middletown Energy Center,18977,Combined Cycle,Middletown,OH,45044,504.9,39.467311,(84.352224),"1,355,620","135,299","13,687",118.8568,0.0059,0.0006,Gas,"6,963","3,363,086"
Lagoon Creek CC,9892,Combined Cycle,Brownsville,TN,38012,615.0,35.657520,(89.396040),"1,291,904","235,225","13,095",118.8570,0.0108,0.0006,Gas,"6,879","3,353,193"
Wise County,458,Combined Cycle,Bridgeport,TX,76426,782.0,33.059850,(97.908480),"1,408,528","395,272","14,197",118.8563,0.0167,0.0006,Gas,"7,063","3,353,144"
Granite Ridge,10,Combined Cycle,Londonderry,NH,03053,797.0,42.904370,(71.425550),"1,431,082","227,179","14,477",118.8574,0.0094,0.0006,Gas,"7,585","3,345,208"
McWilliams,4668,Combined Cycle,Andalusia,AL,36421,751.0,31.401346,(86.479016),"1,597,627","413,069","16,362",118.8651,0.0154,0.0006,Gas,"7,589","3,342,941"
Mitchell (WV),4824,Steam Turbine,Proctor,WV,26055,"1,560.0",39.829700,(80.815300),"3,908,528","3,167,844","2,386,131",204.8584,0.0830,0.0625,Coal,"10,814","3,327,304"
Hinds Energy Facility,201,Combined Cycle,Jackson,MS,39213,515.0,32.378730,(90.220060),"1,390,435","273,583","14,096",118.8574,0.0117,0.0006,Gas,"7,128","3,305,724"
Central de Ciclo Combinado Ecoeléctrica,93451,Combined Cycle,Guayanilla,PR,00656,574.0,17.979060,(66.755220),NA,NA,NA,NA,NA,NA,Gas,"8,059","3,305,522"
Jack A. Fusco Energy Center (Brazos Valley),66,Combined Cycle,Richmond,TX,77469,594.0,29.472280,(95.622760),"1,448,863","287,111","14,664",118.8574,0.0118,0.0006,Gas,"7,498","3,305,314"
Dresden Energy Facility,280,Combined Cycle,Dresden,OH,43821,625.0,40.092810,(82.027800),"1,609,592","324,082","16,336",118.8572,0.0120,0.0006,Gas,"7,198","3,303,491"
Sandy Creek,7530,Steam Turbine,Riesel,TX,76682,932.6,31.476150,(96.958150),"3,780,874","1,505,135","3,394,271",209.0642,0.0416,0.0938,Coal,"9,718","3,295,185"
Stanton Energy Center,6540,Steam Turbine,Orlando,FL,32831,922.0,28.484568,(81.166240),"3,530,267","6,993,067","2,935,454",190.6457,0.1888,0.0793,Coal,"11,289","3,291,688"
York Energy Center (Delta Power Project),907,Combined Cycle,Delta,PA,17314,545.0,39.737940,(76.305250),"1,557,078","137,738","15,682",118.8639,0.0053,0.0006,Gas,"9,280","3,273,649"
Edwardsport IGCC,8935,Integrated Gasification,Edwardsport,IN,47528-8120,618.0,38.807000,(87.247000),"2,990,177","1,407,902","143,152",219.7318,0.0517,0.0053,Gas,"11,298","3,273,390"
Jack Watson,3942,Steam Turbine,Gulfport,MS,39503,721.0,30.439314,(89.026271),"2,023,538","8,126,928","20,460",118.8561,0.2387,0.0006,Gas,"10,516","3,270,047"
Lost Pines 1,248,Combined Cycle,Bastrop,TX,78602,540.0,30.147440,(97.270460),"995,265","173,830","10,173",118.8576,0.0104,0.0006,Gas,"7,249","3,261,489"
Leland Olds,4341,Steam Turbine,Stanton,ND,58571,666.0,47.280779,(101.321036),"4,141,626","10,068,248","3,740,835",217.7397,0.2647,0.0983,Coal,"11,623","3,256,107"
Harrison County Power Project,861,Combined Cycle,Marshall,TX,75672,558.6,32.396190,(94.435790),"1,386,601","333,591","13,953",118.8567,0.0143,0.0006,Gas,"7,192","3,246,242"
Birdsboro Combined Cycle Plant,22496,Combined Cycle,Birdsboro,PA,19508,485.0,40.268390,(75.800000),"1,226,873","123,671","12,348",118.8573,0.0060,0.0006,Gas,"6,441","3,239,674"
